marca,carrera,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,pr16,pr17,pr18,pr19,pr20,pr21,pr22,pr23,pr24,pr25,pr26,pr27,pr28,pr29,pr30,pr31,pr32,pr33,email,genero,semestre,promedio,generoNum,carreraNum,semestreNum,promedioNum
4/3/2019 12:28:09,Arquitectura,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4, ,Hombre,Octavo semestre,de 86 a 90,1,2,8,5
4/3/2019 13:18:53,Bioquímica,4,2,5,6,6,5,4,5,5,5,5,5,5,5,4,5,4,6,3,6,6,4,4,5,5,6,6,6,3,6,6,6,6, ,Mujer,Décimo semestre,de 86 a 90,2,3,10,5
4/3/2019 13:26:18,Eléctrica,4,4,4,3,6,4,6,2,4,6,6,6,6,6,6,6,1,6,6,5,2,2,3,5,2,3,6,5,6,6,3,6,5, ,Hombre,Décimo semestre,de 86 a 90,1,5,10,5
4/3/2019 13:38:54,Electrónica,3,2,1,1,1,1,2,2,2,2,2,2,3,4,5,5,2,2,4,3,2,2,2,4,2,2,3,1,3,3,1,1,1, ,Hombre,Sexto semestre,de 71 a 75,1,6,6,2
4/3/2019 13:39:01,Electrónica,3,2,1,1,1,1,2,2,2,2,2,2,3,4,5,5,2,2,4,3,2,2,2,4,2,2,3,1,3,3,1,1,1, ,Hombre,Sexto semestre,de 71 a 75,1,6,6,2
4/3/2019 13:54:40,Mecatrónica,4,3,4,4,2,2,2,2,3,3,3,3,4,4,4,2,2,1,4,6,6,5,3,4,3,4,3,3,4,4,3,6,4, ,Hombre,Séptimo semestre,de 76 a 80,1,11,7,3
4/3/2019 13:56:00,Mecatrónica,4,3,3,4,3,2,2,3,2,2,2,3,4,5,5,5,5,2,5,5,4,5,6,6,2,2,2,3,3,2,2,2,5, ,Hombre,Onceavo semestre,de 81 a 85,1,11,11,4
4/3/2019 13:57:52,Mecatrónica,4,4,5,5,5,4,5,4,5,6,6,5,6,5,5,5,5,5,6,6,6,6,6,5,4,4,5,5,5,5,5,5,5, ,Hombre,Octavo semestre,de 86 a 90,1,11,8,5
4/3/2019 13:58:17,Electrónica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,Hombre,Quinto semestre,de 91 a 95,1,6,5,6
4/3/2019 14:06:04,Electrónica,4,1,1,1,1,1,1,1,1,1,1,1,6,1,4,2,6,4,5,2,1,1,1,1,1,1,5,2,2,5,6,6,6, ,Hombre,Octavo semestre,de 86 a 90,1,6,8,5
4/3/2019 14:15:15,Electrónica,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,5, ,Hombre,Quinto semestre,de 91 a 95,1,6,5,6
4/3/2019 14:26:44,Mecatrónica,5,5,4,6,6,5,4,5,5,6,6,6,5,4,5,2,2,5,4,5,6,5,6,6,3,3,5,5,4,3,5,6,5, ,Hombre,Doceavo semestre y superior,de 81 a 85,1,11,12,4
4/3/2019 14:27:50,Electrónica,4,5,4,4,4,4,4,3,3,1,3,5,3,3,3,3,3,6,1,3,3,4,1,3,3,3,4,4,6,5,5,4,6, ,Hombre,Sexto semestre,de 81 a 85,1,6,6,4
4/3/2019 14:41:20,Industrial,4,4,4,3,3,4,5,3,3,6,6,5,5,5,5,5,6,6,5,4,6,6,4,5,3,3,6,4,6,6,6,6,6, ,Hombre,Décimo semestre,de 86 a 90,1,8,10,5
4/3/2019 14:51:26,Electrónica,3,3,4,4,4, ,2,2,2,6,6,3,5,6,4,2,6,6,6,5,2,4,3,5,2,5,2,2,2,2,2,4,5, ,Mujer,Décimo semestre,de 86 a 90,2,6,10,5
4/3/2019 15:39:51,Civil,5,5,6, ,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,Hombre,Doceavo semestre y superior,de 76 a 80,1,4,12,3
4/3/2019 15:50:16,Industrial,4,5,3,4,3,3,4,3,5,4,4,5,4,3,3,3,3,3,4,4,5,4,4,3,3,2,5,4,4,3,3,6,5, ,Hombre,Décimo semestre,de 81 a 85,1,8,10,4
4/3/2019 16:15:53,Electrónica,5,4,2,1,1,3,4,3,4,3,4,2,1,6,6,6,4,5,1,5,1,1,1,5,1,1,4,5,5,5,5,6,5, ,Hombre,Segundo semestre,de 96 a 100,1,6,2,7
4/3/2019 16:49:45,Sistemas Computacionales,5,4,5,5,4,4,5,5,5,6,6,6,5,6,6,5,5,6,6,6,6,6,5,6,1,1,5,5,6,6,5,3,5, ,Mujer,Décimo semestre,de 86 a 90,2,13,10,5
4/3/2019 16:56:18,Administración,4,1,3,3,5,4,4,1,1,4,5,1,1,3,1,1,1,4,5,4,4,1,1,4,1,1,5,3,3,4,4,6,4, ,Mujer,Décimo semestre,de 91 a 95,2,1,10,6
4/3/2019 16:56:23,Sistemas Computacionales,4,3,5,3,5,5,6,2,3,5,5,3,3,5,3,1,1,3,5,6,6,6,6,6,2,1,5,2,5,3,4,6,6, ,Hombre,Décimo semestre,de 81 a 85,1,13,10,4
4/3/2019 16:59:17,Sistemas Computacionales,4,5,3,2,6,2,5,4,3,6,4,4,6,4,3,5,4,6,5,4,1,6,4,6,1,1,5,3,5,5,6,3,5, ,Hombre,Décimo semestre,de 86 a 90,1,13,10,5
4/3/2019 16:59:41,Administración,5,5,3,2,3,3,5,3,4,6,6,6,3,5,4,4,4,5,5,4,1,1,1,4,1,1,4,4,4,4,4,5,2, ,Mujer,Octavo semestre,de 86 a 90,2,1,8,5
4/3/2019 17:03:41,Sistemas Computacionales,5,2,4,3,2,2,2,4,4,6,2,6,4,3,5,4,2,6,3,5,4,4,4,5,3,3,4,4,4,4,5,6,6, ,Hombre,Sexto semestre,de 91 a 95,1,13,6,6
4/3/2019 17:08:15,Sistemas Computacionales,4,3,4,4,4,4,4,4,4,6,6,5,5,5,4,5,5,1,6,5,4,2,5,2,1,1,5,6,6,6,4,6,5, ,Hombre,Décimo semestre,de 81 a 85,1,13,10,4
4/3/2019 17:09:22,Sistemas Computacionales,2,1,3,2,1,1,2,2,1,5,3,1,4,4,3,3,3,3,5,5,1,1,1,1,1,1,3,3,1,2,1,2,1, ,Mujer,Séptimo semestre,de 81 a 85,2,13,7,4
4/3/2019 17:10:02,Sistemas Computacionales,5,5,5,4,5,4,4,5,5,6,6,6,1,5,5,5,5,6,6,5,3,4,6,6,3,3,5,5,5,5,5,5,5, ,Hombre,Sexto semestre,de 91 a 95,1,13,6,6
4/3/2019 17:31:03,Sistemas Computacionales,4,5,5,5,4,5,5,4,5,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,3,4,4,4,6,6,5,6,5, ,Hombre,Décimo semestre,de 86 a 90,1,13,10,5
4/3/2019 17:57:27,Sistemas Computacionales,5,4,4,3,3,4,4,4,4,6,6,6,6,1,4,5,4,6,6,4,4,3,4,4,1,1,4,5,4,3,5,6,6, ,Hombre,Onceavo semestre,de 86 a 90,1,13,11,5
4/3/2019 18:17:06,Industrial,4,4,4,3,4,3,3,3,4,3,4,3,4,4,4,2,4,4,5,5,5,5,3,3,2,2,4,4,4,4,4,4,5, ,Mujer,Octavo semestre,de 91 a 95,2,8,8,6
4/3/2019 18:22:05,Sistemas Computacionales,5,2,4,1,4,1,5,1,2,5,5,4,4,3,4,2,2,3,5,1,1,1,1,1,1,1,4,4,6,5,5,6,5, ,Mujer,Doceavo semestre y superior,de 81 a 85,2,13,12,4
4/3/2019 18:44:47,Sistemas Computacionales,3,2,2,2,3,3,2,3,3,4,4,4,2,4,4,2,2,3,5,4,1,3,4,4,1,1,3,4,4,4,3,4,6, ,Hombre,Octavo semestre,de 86 a 90,1,13,8,5
4/3/2019 19:17:29,Sistemas Computacionales,3,4,4,3,5,3,3,2,2,6,5,6, ,6,6,6,4,6,5,2,1,5,5,3,3,3,4,3,2,5,6,6,3, ,Hombre,Sexto semestre,de 91 a 95,1,13,6,6
4/3/2019 19:43:20,Electrónica,5,4,4,4,3,3,4,3,4,5,4,5,5,4,5,3,3,6,6,5,4,1,2,3,2,4,4,4,3,5,4,6,5, ,Hombre,Sexto semestre,de 81 a 85,1,6,6,4
4/3/2019 20:16:28,Sistemas Computacionales,4,4,3,1,5,5,5,4,4,6,6,5,5,5,5,5,6,3,6,5,1,2,3,6,1,1,6,6,6,6,6,6,5, ,Hombre,Onceavo semestre,de 81 a 85,1,13,11,4
4/3/2019 20:18:22,Arquitectura,4,3,5,4,5,3,4,5,5,6,6,5,5,5,5,5,6,6,5,3,3,2,2,3,3,3,5,5,6,5,5,6,6, ,Mujer,Sexto semestre,de 91 a 95,2,2,6,6
4/3/2019 20:21:29,Sistemas Computacionales,4,4,4,4,4,4,5,4,3,6,6,6,6,6,5,4,4,6,6,5,4,5,4,4,1,1,4,4,6,4,3,3,4, ,Hombre,Doceavo semestre y superior,de 86 a 90,1,13,12,5
4/3/2019 20:43:37,Mecatrónica,4,3,4,3,5,4,5,4,3,6,6,6,5,6,5,5,6,5,4,5,5,6,6,6,6,5,4,4,5,5,4,6,5, ,Hombre,Décimo semestre,de 86 a 90,1,11,10,5
4/3/2019 21:01:16,Civil,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,1,1,6,6,6,6,6,6,6, ,Hombre,Noveno semestre,de 81 a 85,1,4,9,4
4/3/2019 23:26:54,Civil,3,2,3,3,5,4,5,4,4,6,6,6,6,3,3,2,6,6,6,5,2,1,3,2,1,1,3,3,6,5,4,6,6, ,Hombre,Décimo semestre,de 81 a 85,1,4,10,4
5/3/2019 0:24:29,Sistemas Computacionales,3, ,3,2,3,3,3,2,2,4,4,4,4,5,5,4,2,3,6,2,3,5,5,5,3,3,3,3,2,2,2,2,2, ,Mujer,Sexto semestre,de 91 a 95,2,13,6,6
5/3/2019 0:40:04,Civil,4,4,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,4,4,5,3,4,4,4,4,5,5,3,5,5,4, ,Mujer,Noveno semestre,de 81 a 85,2,4,9,4
5/3/2019 0:41:10,Sistemas Computacionales,3,4,4,4,4,3,4,4,4,5,5,5,5,5,3,5,5,5,5,4,4,5,4,4,3,2,4,4,4,4,4,3,3, ,Hombre,Doceavo semestre y superior,de 86 a 90,1,13,12,5
5/3/2019 1:01:21,Sistemas Computacionales,5,5,4,5,6,6,6,5,5,6,6,5,5,6,5,5,5,5,6,5,5,5,6,6,5,4,5,6,6,6,6,6,6, ,Hombre,Doceavo semestre y superior,de 81 a 85,1,13,12,4
5/3/2019 3:13:54,Electrónica,4,2,1,3,2,1,1,1,2,4,5,1,6,4,6,3,1,4,6,3,1,5,1,2,1,1,2,1,5,2,4,6,4, ,Hombre,Décimo semestre,de 86 a 90,1,6,10,5
5/3/2019 6:14:15,Mecatrónica,2,3,2,3,1,2,4,3,3,5,5,4,5,5,5,5,3,5,5,6,4,4,6,6,3,3,3,3,3,3,2,3,2, ,Hombre,Octavo semestre,de 91 a 95,1,11,8,6
5/3/2019 7:03:24,Sistemas Computacionales,4,4,4,5,5,5,4,5,3,6,6,6,6,5,6,6,4,6,6,4,1,5,5,4,2,2,4,5,5,5,4,6,4, ,Hombre,Octavo semestre,de 86 a 90,1,13,8,5
5/3/2019 7:39:21,Arquitectura,5,5,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,4,3,4,4,4,6,6,6,6,6,6,6, ,Mujer,Décimo semestre,de 86 a 90,2,2,10,5
5/3/2019 8:43:41,Sistemas Computacionales,4,4,5,4,4,4,5,4,5,4,6,5,6,6,5,5,6,6,4,5,6,5,6,5,3,3,5,5,6,6,5,5,5, ,Hombre,Décimo semestre,de 91 a 95,1,13,10,6
5/3/2019 9:01:23,Electrónica,5,5,4,4,5,5,5,5,4,1,5,5,6,4,6,5,5,6,6,6,5,3,2,5,2,4,5,6,6,6,5,5,5, ,Hombre,Doceavo semestre y superior,de 81 a 85,1,6,12,4
5/3/2019 9:30:47,Electrónica,5,4,4,3,6,5,5,4,4,6,6,4,5,5,5,3,3,6,5,2,1,1,1,4,2,1,5,6,5,6,4,6,3, ,Hombre,Décimo semestre,de 86 a 90,1,6,10,5
5/3/2019 11:15:31,Industrial,3,3,3,3,4,4,5,3,4,5,5,5,2,5,3,3,3,3,3,3,4,2,4,2,2,2,4,4,4,4,4,6,3, ,Mujer,Octavo semestre,de 91 a 95,2,8,8,6
