NO,SEMESTRE,CR APROBADOS,CR INSRITOS,PROMEDIO,CARRERA
1,14,246,16,85.67,ADMINISTRACION
2,14,237,15,84.2,ADMINISTRACION
3,13,222,20,86.74,ADMINISTRACION
4,13,207,20,81.61,ADMINISTRACION
5,12,188,35,89.35,ADMINISTRACION
6,12,212,29,87.6,ADMINISTRACION
7,12,237,10,85.2,ADMINISTRACION
8,12,247,15,84.37,ADMINISTRACION
9,12,232,5,84.14,ADMINISTRACION
10,12,217,20,83.28,ADMINISTRACION
11,12,183,29,82.74,ADMINISTRACION
12,12,174,23,80.84,ADMINISTRACION
13,11,252,10,86.19,ADMINISTRACION
14,11,231,6,85.29,ADMINISTRACION
15,11,237,10,84.74,ADMINISTRACION
16,11,232,5,84.61,ADMINISTRACION
17,11,137,5,83.38,ADMINISTRACION
18,11,221,26,82.13,ADMINISTRACION
19,11,198,38,80.9,ADMINISTRACION
20,10,213,34,93.47,ADMINISTRACION
21,10,204,37,91.33,ADMINISTRACION
22,10,252,10,90.83,ADMINISTRACION
23,10,252,10,90.69,ADMINISTRACION
24,10,237,10,90.42,ADMINISTRACION
25,10,237,10,89.28,ADMINISTRACION
26,10,232,10,88.98,ADMINISTRACION
27,10,252,10,88.85,ADMINISTRACION
28,10,218,29,88.65,ADMINISTRACION
29,10,227,10,87.73,ADMINISTRACION
30,10,242,10,87.31,ADMINISTRACION
31,10,218,25,87.17,ADMINISTRACION
32,10,252,10,87.12,ADMINISTRACION
33,10,212,35,87.07,ADMINISTRACION
34,10,236,16,86.92,ADMINISTRACION
35,10,224,13,86.62,ADMINISTRACION
36,10,252,10,86.29,ADMINISTRACION
37,10,247,10,85.45,ADMINISTRACION
38,10,252,10,85.44,ADMINISTRACION
39,10,237,10,85.34,ADMINISTRACION
40,10,223,24,85,ADMINISTRACION
41,10,206,30,84.91,ADMINISTRACION
42,10,213,10,84.53,ADMINISTRACION
43,10,226,21,84.42,ADMINISTRACION
44,10,169,24,82.97,ADMINISTRACION
45,10,156,27,81.76,ADMINISTRACION
46,10,214,13,81.64,ADMINISTRACION
47,10,175,33,80.32,ADMINISTRACION
48,9,233,9,93.08,ADMINISTRACION
49,9,228,19,92.33,ADMINISTRACION
50,9,227,15,91.92,ADMINISTRACION
51,9,227,15,91.31,ADMINISTRACION
52,9,153,34,90.88,ADMINISTRACION
53,9,226,11,90.63,ADMINISTRACION
54,9,226,11,90.25,ADMINISTRACION
55,9,226,21,90.21,ADMINISTRACION
56,9,226,16,90.02,ADMINISTRACION
57,9,242,10,89.9,ADMINISTRACION
58,9,232,15,89.8,ADMINISTRACION
59,9,227,15,89.08,ADMINISTRACION
60,9,227,15,89,ADMINISTRACION
61,9,238,14,87.68,ADMINISTRACION
62,9,238,14,87.62,ADMINISTRACION
63,9,232,6,87.55,ADMINISTRACION
64,9,237,10,86.66,ADMINISTRACION
65,9,212,35,86.44,ADMINISTRACION
66,9,222,15,85.98,ADMINISTRACION
67,9,232,5,85.9,ADMINISTRACION
68,9,192,35,85.49,ADMINISTRACION
69,9,145,28,85.1,ADMINISTRACION
70,9,159,19,84.82,ADMINISTRACION
71,9,221,26,84.06,ADMINISTRACION
72,9,188,19,82.58,ADMINISTRACION
73,9,183,35,82.21,ADMINISTRACION
74,9,165,34,80.94,ADMINISTRACION
75,9,178,35,80.21,ADMINISTRACION
76,9,142,33,79.77,ADMINISTRACION
77,8,144,36,95.16,ADMINISTRACION
78,8,160,25,93.94,ADMINISTRACION
79,8,204,37,93.09,ADMINISTRACION
80,8,200,37,92.88,ADMINISTRACION
81,8,218,34,92.59,ADMINISTRACION
82,8,204,37,92.56,ADMINISTRACION
83,8,194,32,92.46,ADMINISTRACION
84,8,210,42,92.25,ADMINISTRACION
85,8,217,30,92.13,ADMINISTRACION
