Carrera,NoSemestre,CrAprobados,Carga,Promedio,Semestre
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,,27,0,Ago-Dic 2017
ADMINISTRACION,1,17,28,77.75,Ago-Dic 2017
ADMINISTRACION,1,27,24,81.14,Ago-Dic 2017
